"","PIB","Trabalho","Cambio"
"1",86.574,2042,789
"2",908.136,2051.02,793
"3",99.449,2060.08,793
"4",104.503,2069.18,856
"5",113.076,2078.31,131
"6",120.375,2087.49,179
"7",124.745,2096.71,206
"8",137.27,2105.97,218
"9",146.03,2115.27,275
"10",157.291,2124.62,435
"11",16.949,2134,810
"12",193.353,2135.1,117
"13",203.356,2136.2,168
"14",216.464,2137.29,249
"15",225.476,2138.39,542
"16",241.192,2139.49,822
"17",250.752,2140.59,961
"18",265.13,2141.69,115
"19",294.824,2142.8,146
"20",313.737,2143.9,176
"21",348.008,2145,199
"22",387.472,2128.54,229
"23",433.736,2112.21,257
"24",49.433,2096,265
"25",53.461,2079.77,294
"26",562.257,2063.67,352
"27",619.945,2047.69,462
"28",650.508,2031.83,612
"29",682.838,2016.1,782
"30",728.998,2000.49,117
"31",796.285,1985,228
"32",762.443,1974.1,403
"33",768.771,1963.25,777
"34",746.246,1952.47,250
"35",786.543,1941.75,800
"36",8.482,1931.08,268
"37",911.815,1920.47,591
"38",944.002,1909.92,170
"39",943.436,1899.43,114
"40",973.249,1889,123
"41",930.912,1879,296
"42",940.501,1874.23,0.000175961443086024
"43",936.266,1869.48,0.00195302352248811
"44",981.546,1864.73,0.038276610926673
"45",103.898,1860,0.664683514070577
"46",108.287,1855.23,0.917666666666667
"47",110.615,1850.48,10.051
"48",114.349,1845.73,107.799
"49",114.389,1841,116.051
"50",114.68,1841,181.393
"51",119.618,1841,182.942
"52",121.189,1841,234.963
"53",124.411,1841,292.036
"54",125.837,1841,307.747
"55",133.025,1841,292.511
"56",1372289.75,1841,243.439
"57",142.659,1841,217.532
"58",15.134,1841,194.705
"59",159.162,1841,183.376
"60",158.635,1841,199.942
"61",170.586,1841,175.922
"62",175.248,1841,167.282
